epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,641.676,0.56212,0.91142,0.25697,0.3707,0.89294,0.97777,0.92258,0.97424,0.81129,0.97777,0.92258,0.97424,0.77838,0.69434,0.87291,0.06218,0.43954,0.90631,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
71,651.16,0.56123,0.93264,0.27675,0.37468,0.89624,0.94087,0.92384,0.97284,0.80322,0.94087,0.92384,0.97284,0.75179,0.71056,0.94835,0.05848,0.43843,0.92091,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538
72,658.877,0.5477,0.93587,0.25536,0.36774,0.8879,0.92843,0.92065,0.97007,0.81686,0.92843,0.92065,0.97007,0.77956,0.68946,0.88597,0.05796,0.48247,0.90347,0.0045942,0.0015314,0.0045942,0.0015314,0.0045942,0.0015314,0.0045942,0.0015314
73,667.453,0.55817,0.97387,0.27131,0.37699,0.88955,0.95278,0.92258,0.97888,0.82561,0.95278,0.92258,0.97888,0.777,0.68127,0.8764,0.05952,0.43495,0.90136,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
74,676.279,0.56369,0.94025,0.25956,0.38473,0.89753,0.95984,0.94194,0.97775,0.82259,0.95984,0.94194,0.97775,0.78326,0.68044,0.86018,0.05884,0.42992,0.9001,0.0045546,0.0015182,0.0045546,0.0015182,0.0045546,0.0015182,0.0045546,0.0015182
75,685.747,0.53673,0.8924,0.24225,0.35983,0.88281,0.92904,0.92915,0.97482,0.8114,0.92904,0.92915,0.97482,0.77515,0.70157,0.88205,0.05403,0.44686,0.89811,0.0045348,0.0015116,0.0045348,0.0015116,0.0045348,0.0015116,0.0045348,0.0015116
76,693.199,0.55468,0.90233,0.25227,0.36576,0.88809,0.95281,0.92903,0.96656,0.8088,0.95281,0.92903,0.96656,0.77081,0.70483,0.87459,0.05831,0.44781,0.91925,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
77,701.339,0.55608,0.92233,0.27003,0.36982,0.89234,0.91744,0.93196,0.96596,0.80346,0.89838,0.9126,0.93512,0.75793,0.72014,0.88046,0.05911,0.4576,0.91575,0.0044952,0.0014984,0.0044952,0.0014984,0.0044952,0.0014984,0.0044952,0.0014984
78,708.561,0.54589,0.91386,0.24189,0.36906,0.88015,0.95284,0.91245,0.97027,0.81083,0.9461,0.90599,0.96433,0.76482,0.70574,0.89082,0.05623,0.44935,0.9026,0.0044754,0.0014918,0.0044754,0.0014918,0.0044754,0.0014918,0.0044754,0.0014918
79,718.596,0.54308,0.86783,0.2473,0.35763,0.88213,0.95504,0.92903,0.97511,0.81501,0.94841,0.92258,0.96143,0.77224,0.70317,0.87538,0.05258,0.46331,0.91059,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
